unit_id,period,count,treated,post
0x000d,2024-01-22T00:00:00.000000,1,0,0
0x000d,2024-01-29T00:00:00.000000,1,0,0
0x000d,2024-02-05T00:00:00.000000,1,0,1
0x000d,2024-02-12T00:00:00.000000,1,0,1
0x000d,2024-02-19T00:00:00.000000,1,0,1
0x000e,2024-01-01T00:00:00.000000,1,0,0
0x000e,2024-01-08T00:00:00.000000,1,0,0
0x000e,2024-01-15T00:00:00.000000,1,0,0
0x000e,2024-01-22T00:00:00.000000,1,0,0
0x000e,2024-01-29T00:00:00.000000,1,0,0
0x000e,2024-02-05T00:00:00.000000,1,0,1
0x000e,2024-02-12T00:00:00.000000,1,0,1
0x000e,2024-02-19T00:00:00.000000,1,0,1
